parent_company,sector,total_scope1_emissions_mtco2e,facility_count
OLYMPUS HOLDINGS LLC,Utilities,606371.0,1
CITY OF FREMONT NEBRASKA,Utilities,603711.0,1
AEIF HILL TOP LLC,Utilities,603417.04,1
HT POWER ASSOCIATES I LLC,Utilities,603417.04,1
JR SIMPLOT CO,Chemicals/Materials,599730.0,3
IMPERIAL IRRIGATION DISTRICT,Utilities,599724.84,3
PACIFICORP,Utilities,599534.5,1
PERENNIAL POWER HOLDINGS INC,Utilities,599534.5,1
"WattBridge Texas, LLC",Utilities,589316.0,4
WATTAGE FINANCE - NC LLC,Utilities,569307.96,1
HOOSIER ENERGY REC INC,Utilities,561205.5,3
INDIANA MUNICIPAL POWER AGENCY,Utilities,546444.4,3
FRONTERA HOLDINGS LLC,Utilities,535942.0,1
ARCLIGHT ENERGY PARTNERS FUND VI LP,Utilities,523967.0,3
SHELL USA,Chemicals/Materials,523941.0,1
WPPI ENERGY,Utilities,519664.6,1
"BOWLINE GENERATING STATION, LLC",Utilities,516750.0,1
THE NAVAJO NATION TRIBAL GOVERNMENT,Utilities,502973.38,1
SEMPRA ENERGY INC,Utilities,500797.0,2
GREAT RIVER ENERGY,Utilities,477969.0,5
LOTTE CHEMICAL USA CORP,Chemicals/Materials,474218.05,1
WPPI Energy,Utilities,470345.2,1
PANCENTAL CGC HOLDINGS LLC,Utilities,468905.58,1
CONOCOPHILLIPS,Energy,455697.08,1
Q POWER LLC,Utilities,452134.0,1
SAMCHULLY POWER & UTILITIES LLC,Utilities,450120.98,1
GRAND ISLAND UTILITIES DEPARTMENT,Utilities,444108.0,1
HUSKY MARKETING & SUPPLY CO,Energy,443719.0,1
NORTHERN CALIFORNIA POWER AGENCY,Utilities,430625.0,2
LSB CHEMICAL LLC,Chemicals/Materials,427703.0,1
NEWMONT CORP,Utilities,419129.48,1
CITY OF HOLLAND MICHIGAN,Utilities,416484.0,2
VERTEX ENERGY,Energy,407720.0,1
VERSUM MATERIALS INC,Chemicals/Materials,403544.0,1
"WattBridge Texas,LLC",Utilities,398302.0,1
CSRC USA CORP,Chemicals/Materials,397256.0,2
BAYONNE ENERGY CENTER LLC,Utilities,396459.0,1
Integrys Energy Group Inc,Utilities,395769.65,1
EBENSBURG POWER CO,Utilities,395414.99,1
MINNESOTA MUNICIPAL POWER AGENCY,Utilities,392043.0,1
PARIS GENERATION LP,Utilities,388316.0,1
MUNICIPAL ENERGY AGENCY OF NEBRASKA INC,Utilities,385703.44,2
