Data Extracted from EPA's FLIGHT Tool (http://ghgdata.epa.gov/ghgp),,,,,,,,,,,,
The data was reported to EPA by facilities as of 08/16/2024,,,,,,,,,,,,
All emissions data is presented in units of metric tons of carbon dioxide equivalent using GWP's from IPCC's AR4,,,,,,,,,,,,
Search Parameters: year=2023; GHGs=ALL; data type=All Direct Emitters; ,,,,,,,,,,,,
,,,,,,,,,,,,
REPORTING YEAR,FACILITY NAME,GHGRP ID,REPORTED ADDRESS,LATITUDE,LONGITUDE,CITY NAME,COUNTY NAME,STATE,ZIP CODE,PARENT COMPANIES,GHG QUANTITY (METRIC TONS CO2e),SUBPARTS
2023,AMERICAN ACRYL PASADENA,1004732,"4631 Old Hwy 146, Suite B",29.608982,-95.054226,PASADENA,HARRIS COUNTY,TX,77507,ARKEMA DELAWARE INC (50%); NIPPON SHOKUBAI AMERICA INDUSTRIES INC (50%),81719,C
2023,AMERICAN REFINING GROUP INC,1005590,77 NORTH KENDALL AVENUE,41.965472,-78.633108,BRADFORD,MCKEAN COUNTY,PA,16701,AMERICAN REFINING GROUP INC (100%),122544,"C,MM,Y"
2023,AMERICAS STYRENICS LLC - ST JAMES PLANT,1001962,9901 HWY 18,30.08013,-90.916,ST. JAMES,ST. JAMES PARISH,LA,70086,CHEVRON CORP (50%); TRINSEO PLC (50%),771321,C
2023,"AMGEN MANUFACTURING, LIMITED",1005072,RD 31 KM 24.6,18.2375,-65.907222,JUNCOS,JUNCOS MUNICIPIO,PR,777,AMGEN INC (100%),61780,C
2023,AMP Fremont Energy Center,1008730,1275 Miarer Rd,41.355909,-83.122007,Fremont,SANDUSKY COUNTY,OH,43420,AMERICAN MUNICIPAL POWER INC (100%),1277562,D
2023,APACHE NITROGEN PRODUCTS - PLANT,1001908,1436 SOUTH APACHE POWDER ROAD,31.88,-110.24,St. David,COCHISE COUNTY,AZ,85630,FREEPORT-MCMORAN INC (50%); SOUTHWEST ENERGY LLC (50%),415929,"C,V"
2023,APS Saguaro Power Plant,1001423,MAIL POST 228,32.5517,-111.3,RED ROCK,Pinal,AZ,85245,PINNACLE WEST CAPITAL CORP (100%),127427,"C,D"
2023,APS West Phoenix Power Plant,1001422,4606 WEST HADLEY,33.4417,-112.1583,PHOENIX,Maricopa,AZ,85043,PINNACLE WEST CAPITAL CORP (100%),1413917,"C,D"
2023,ARKEMA BEAUMONT PLANT,1006644,2810 GULF STATES ROAD,30.060226,-94.058976,BEAUMONT,JEFFERSON COUNTY,TX,77701,ARKEMA DELAWARE INC (100%),84320,C
2023,ARKEMA INC CLEAR LAKE,1006797,9502 BAYPORT BLVD STE B,29.62139,-95.06389,PASADENA,HARRIS COUNTY,TX,77507,ARKEMA DELAWARE INC (100%),81833,C
2023,"ARKEMA, INC.",1005721,4444 INDUSTRIAL PARKWAY,37.056699,-88.365727,CALVERT CITY,MARSHALL COUNTY,KY,42029,ARKEMA DELAWARE INC (100%),105680,"C,L,OO"
2023,ASCEND PERFORMANCE MATERIALS CHOCOLATE BAYOU FACILITY,1002190,,29.2567,-95.2144,ALVIN,BRAZORIA COUNTY,TX,77512,ASCEND PERFORMANCE MATERIALS HOLDINGS INC (100%),553628,"C,X"
2023,ASHLEY Energy LLC,1003496,1 ASHLEY STREET,38.63639,-90.18108,SAINT LOUIS,ST. LOUIS CITY,MO,63102,ASHLEY ENERGY LLC (100%),67251,C
2023,ASTORIA ENERGY LLC & ASTORIA ENERGY II LLC,1004576,17-10 STEINWAY ST,40.7825,-73.8964,ASTORIA,QUEENS COUNTY,NY,11105,ASTORIA PROJECT PARTNERS LLC (100%),3136190,"C,D"
2023,Aberdeen Generating Station,1010630,421 30th Ave SW,45.45807,-98.50242,Aberdeen,,SD,57401,NORTHWESTERN CORP (100%),22998,"C,D"
2023,Acadia Power Station,1001347,30385 CROWLEY EUNICE HWY,30.4284,-92.4112,EUNICE,Acadia,LA,70535,CLECO CORPORATE HOLDINGS LLC (50%); ENTERGY CORP (50%),2330335,D
2023,Ackerman Combined Cycle,1000125,2510 PENSACOLA ROAD,33.38,-89.2091,ACKERMAN,Choctaw,MS,39735,US GOVERNMENT (%),927459,"C,D"
2023,Addis Carbon Black Plant,1000603,5221 Sid Richardson Road,30.3288,-91.2792,Addis,WEST BATON ROUGE PARISH,LA,70710,TOKAI CARBON CB LTD (100%),280795,"C,X"
2023,AdvanSix Resins & Chemicals LLC,1000089,2501 MARGARET STREET,40.0067,-75.0686,PHILADELPHIA,Philadelphia,PA,19137,ADVANSIX INC (100%),159665,C
2023,"Advanced Tri-Gen Power Systems, LLC",1006553,1823 East Boy Scout Road,40.843067,-89.564148,Chillicothe,PEORIA COUNTY,IL,61523,CATERPILLAR INC (100%),96957,C
2023,Advancion Corporation,1002263,350 LOUISIANA HIGHWAY 2,32.6907,-92.0826,STERLINGTON,OUACHITA PARISH,LA,71280,ARUBA INVESTMENTS INC (100%),117619,"C,V"
2023,Afton Generating Station,1006556,10100 WEST AFTON ROAD,32.1134,-106.848,LA MESA,Dona Ana,NM,88044,PNM RESOURCES INC (100%),575637,"C,D"
2023,Agua Fria Generating Station,1007206,7302 W NORTHERN AVE,33.5542,-112.2161,GLENDALE,Maricopa,AZ,85303,SALT RIVER PROJECT AGRICULTURAL IMPROVEMENT & POWER DISTRICT (100%),97741,"C,D"
2023,Agua Mansa Power,1000423,2040 AGUA MANSA ROAD,34.0414,-117.3603,COLTON,San Bernardino,CA,92324,CITY OF COLTON CALIFORNIA (100%),6120,D
2023,Air Liquide Hydrogen Plant,1007253,8581 South Texas Road,48.467675,-122.553982,Anacortes,SKAGIT COUNTY,WA,98221,AMERICAN AIR LIQUIDE HOLDINGS INC (100%),72277,P
2023,Air Liquide Large Industries US - SMR,1006711,11400 Bay Area Blvd.,29.621469,-95.044198,Pasadena,HARRIS COUNTY,TX,77507,AMERICAN AIR LIQUIDE HOLDINGS INC (100%),399378,P
2023,Air Liquide North Las Vegas Liquid Hydrogen Plant,1014562,8450 N Terryl B Adams St,36.31623,-114.986163,North Las Vegas,CLARK COUNTY,NV,89165,AMERICAN AIR LIQUIDE HOLDINGS INC (100%),87383,P
2023,Air Products - Geismar 3 HYCO,1013917,9150 Hwy 75,30.19641,-91.01745,Geismar,ASCENSION PARISH,LA,70734,AIR PRODUCTS & CHEMICALS INC (100%),239814,P
2023,Air Products Baytown 3 Facility,1013205,7714 West Bay Rd.,29.752,-94.909222,Baytown,CHAMBERS COUNTY,TX,77523,AIR PRODUCTS & CHEMICALS INC (100%),1020473,P
2023,Air Products H2 SMR Plant at DCRC (Unit 37),1014231,4550 Wrangle Hill Road,39.580271,-75.631114,Delaware City,NEW CASTLE COUNTY,DE,19706,AIR PRODUCTS & CHEMICALS INC (100%),246813,P
2023,Air Products LLC - Corpus Christi,1004442,5401 Up River Road,27.810323,-97.458049,Corpus Christi,NUECES COUNTY,TX,78407,AIR PRODUCTS & CHEMICALS INC (100%),160648,P
2023,Air Products LLC - Pasadena SMR,1006943,1435 Highway 225,29.716011,-95.200573,Pasadena,HARRIS COUNTY,TX,77506,AIR PRODUCTS & CHEMICALS INC (100%),491424,P
2023,Air Products La Porte Facility,1003160,10202 Strang Rd,29.702,-95.071,La Porte,HARRIS COUNTY,TX,77571,AIR PRODUCTS & CHEMICALS INC (100%),51221,C
2023,Air Products Port Arthur Facility,1006402,1801 S Gulfway Dr within Valero Refinery,29.8662,-93.97117,Port Arthur,JEFFERSON COUNTY,TX,77640,AIR PRODUCTS & CHEMICALS INC (100%),2335031,"C,P,PP"
2023,Air Products West Coast Hydrogen - HP-1,1014323,3485 Pacheco Blvd.,38.01330428,-122.1079648,Martinez,,CA,94553,AIR PRODUCTS & CHEMICALS INC (100%),446432,P
2023,Air Products West Coast Hydrogen LLC - Torrance,1014612,3700 W 190th St. #U4/24,33.8692,-118.33159,Torrance,LOS ANGELES COUNTY,CA,90504,AIR PRODUCTS & CHEMICALS INC (100%),881225,"P,PP"
